

page_name,engagement_rate,engagement_rate_percentile,better_than_percent,similar_pages_percent,likes_per_post,comments_per_post,views_to_follower_ratio,likes_to_follower_ratio,average_reel_views,average_shares,timestamp
parinaz_home20,10.96,95%,98.0%,99.0%,4066,471,21.6%,5.7%,65347,139,2025-09-13 16:10:55
banoye_gilaniiiii,10.86,95%,98.0%,99.0%,3377,460,20.7%,5.5%,53694,141,2025-09-13 16:10:55
shadiibahrampoor,10.67,95%,98.0%,99.0%,3444,281,14.2%,5.5%,58881,152,2025-09-13 16:10:55
shabnam_shahrokhi,10.41,95%,98.0%,97.9%,2662,370,18.1%,7.2%,58508,84,2025-09-13 16:10:55
reyhaan_khanoomii,10.01,95%,98.0%,95.1%,2816,319,15.1%,7.9%,46475,105,2025-09-13 16:10:55
negin_abedzadeh,9.67,95%,97.4%,92.7%,2659,406,18.6%,8.1%,46067,92,2025-09-13 16:10:55
alirezaajafarzadeh,9.19,95%,93.5%,89.3%,3192,323,16.9%,4.9%,61315,127,2025-09-13 16:10:55
shervintarighaat,9.13,95%,93.0%,88.9%,2919,324,13.5%,7.8%,40863,98,2025-09-13 16:10:55
soogol_shakeri,9.02,95%,92.2%,88.1%,2601,334,22.1%,7.9%,34343,104,2025-09-13 16:10:55
iranian.beauty,8.72,95%,89.8%,86.0%,2678,407,15.9%,6.8%,65486,65,2025-09-13 16:10:55
fashion.women.iran,8.69,95%,89.5%,85.8%,2272,390,13.7%,7.1%,28135,71,2025-09-13 16:10:55
twins_lifestyleee,8.66,95%,89.3%,85.6%,3530,324,13.5%,4.7%,46002,136,2025-09-13 16:10:55
poopak_mahboobi,8.61,95%,88.9%,85.3%,2543,446,17.8%,5.3%,40453,79,2025-09-13 16:10:55
yaldaakrimi,8.4,95%,87.2%,83.8%,2729,271,14.7%,7.5%,48141,64,2025-09-13 16:10:55
nadiomshi,8.39,95%,87.1%,83.7%,2710,388,20.2%,5.2%,39237,139,2025-09-13 16:10:55
women.style.iran,8.37,95%,87.0%,83.6%,2862,230,19.6%,5.2%,40802,128,2025-09-13 16:10:55
style.women.iran,8.19,95%,85.5%,82.3%,3228,407,15.1%,8.3%,55422,116,2025-09-13 16:10:55
iranian.fashion,7.83,95%,82.6%,79.8%,2198,425,14.2%,6.7%,49832,101,2025-09-13 16:10:55
fashion.iranian,7.79,95%,82.3%,79.5%,3310,363,18.3%,5.7%,59870,93,2025-09-13 16:10:55
alika_salehi,7.68,95%,81.4%,78.8%,2642,259,15.0%,5.6%,55037,76,2025-09-13 16:10:55
beauty.lifestyle.iran,7.59,95%,80.7%,78.1%,3239,267,15.2%,4.8%,56326,103,2025-09-13 16:10:55
pegah_fahimi,7.33,93%,78.6%,76.3%,1993,371,19.1%,6.9%,25093,126,2025-09-13 16:10:55
style.and.beauty,7.33,93%,78.6%,76.3%,2009,344,18.5%,4.2%,38510,105,2025-09-13 16:10:55
lifestyle.and.fashion,7.02,90%,76.2%,74.1%,2683,309,11.3%,8.0%,31793,68,2025-09-13 16:10:55
fashion.lifestyle.iran,6.82,88%,74.6%,72.7%,2372,232,17.8%,7.8%,50551,100,2025-09-13 16:10:55
lifestyle.women.iran,6.76,87%,74.1%,72.3%,2604,269,13.5%,5.1%,41260,61,2025-09-13 16:10:55
nazarzarei,6.69,86%,73.5%,71.8%,3337,426,11.5%,4.1%,29484,99,2025-09-13 16:10:55
tehran.style,6.64,86%,73.1%,71.5%,2279,240,18.4%,6.1%,50073,95,2025-09-13 16:10:55
beauty.women.iran,6.44,84%,71.5%,70.1%,2120,200,20.1%,5.3%,56127,125,2025-09-13 16:10:55
lifestyle.iran,6.27,82%,70.2%,68.9%,2338,266,12.6%,4.4%,56288,80,2025-09-13 16:10:55
women.fashion.iran,6.26,82%,70.1%,68.8%,1854,393,13.0%,5.7%,23263,106,2025-09-13 16:10:55
iranian.women.style,6.01,80%,68.1%,67.1%,2681,343,9.9%,4.6%,57893,78,2025-09-13 16:10:55
women.lifestyle.iran,5.99,79%,67.9%,66.9%,2314,386,13.2%,7.1%,48991,53,2025-09-13 16:10:55
style.beauty.iran,5.81,78%,66.5%,65.7%,2449,397,19.0%,7.2%,53644,92,2025-09-13 16:10:55
style.iran,5.52,75%,64.2%,63.6%,2986,321,12.6%,7.3%,22458,117,2025-09-13 16:10:55
beauty.iran,5.42,74%,63.4%,62.9%,2108,264,13.2%,5.0%,31166,62,2025-09-13 16:10:55
